year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,10,5,1513,1510,3,1710,1736,-26,UA,578,N469UA,EWR,LAS,276,2227,15,10,2013-10-05T19:00:00Z
2013,4,23,33,2255,98,147,11,96,B6,30,N304JB,JFK,ROC,53,264,22,55,2013-04-24T02:00:00Z
2013,10,5,1931,1940,-9,2041,2100,-19,EV,5714,N833AS,JFK,IAD,44,228,19,40,2013-10-05T23:00:00Z
2013,4,9,1150,1154,-4,1421,1420,1,FL,347,N285AT,LGA,ATL,109,762,11,54,2013-04-09T15:00:00Z
2013,5,9,1809,1745,24,2012,2021,-9,DL,884,N363NW,LGA,DEN,214,1620,17,45,2013-05-09T21:00:00Z
2013,1,3,1000,1005,-5,1215,1303,-48,DL,1529,N375DA,JFK,LAS,288,2248,10,5,2013-01-03T15:00:00Z
2013,5,18,808,815,-7,1006,1015,-9,DL,2119,N331NW,LGA,MSP,153,1020,8,15,2013-05-18T12:00:00Z
2013,8,11,1357,1359,-2,1626,1638,-12,UA,1740,N76504,EWR,IAH,187,1400,13,59,2013-08-11T17:00:00Z
2013,6,5,652,700,-8,808,830,-22,UA,1430,N78509,LGA,ORD,112,733,7,0,2013-06-05T11:00:00Z
2013,10,15,1515,1515,0,1715,1724,-9,EV,4181,N11127,EWR,MCI,151,1092,15,15,2013-10-15T19:00:00Z
2013,7,9,NA,1825,NA,NA,2005,NA,MQ,3134,N500MQ,EWR,ORD,NA,719,18,25,2013-07-09T22:00:00Z
2013,12,28,1329,1330,-1,1755,1814,-19,B6,103,N630JB,JFK,SJU,187,1598,13,30,2013-12-28T18:00:00Z
2013,10,31,1155,1200,-5,1453,1506,-13,DL,423,N722TW,JFK,LAX,322,2475,12,0,2013-10-31T16:00:00Z
2013,12,5,1941,1600,221,2106,1745,201,9E,4215,N903XJ,LGA,PIT,61,335,16,0,2013-12-05T21:00:00Z
2013,8,22,711,630,41,907,831,36,EV,4150,N16987,EWR,CVG,91,569,6,30,2013-08-22T10:00:00Z
2013,2,1,710,725,-15,1006,1035,-29,AS,11,N551AS,EWR,SEA,323,2402,7,25,2013-02-01T12:00:00Z
2013,5,30,1725,1550,95,2015,1900,75,AA,763,N3AJAA,LGA,DFW,196,1389,15,50,2013-05-30T19:00:00Z
2013,5,24,2218,2059,79,2358,2256,62,EV,4368,N18556,EWR,DAY,81,533,20,59,2013-05-25T00:00:00Z
2013,7,4,1350,1300,50,1603,1519,44,EV,5148,N137EV,EWR,ATL,113,746,13,0,2013-07-04T17:00:00Z
2013,2,15,1316,1315,1,1512,1504,8,US,1597,N564UW,EWR,CLT,92,529,13,15,2013-02-15T18:00:00Z
2013,9,17,553,602,-9,825,852,-27,UA,1115,N27733,EWR,TPA,131,997,6,2,2013-09-17T10:00:00Z
